;number; symbol; name; x; y; family;
;1  ;H  ;Hidrogênio     ;1 ;1;None;
;2  ;He ;Hélio         ;18;1;Nobre;
;3  ;Li ;Lítio         ;1 ;2;Metal;
;4  ;Be ;Berílio       ;2 ;2;Metal;
;5  ;B  ;Boro         ;13;2;Semimetal;
;6  ;C  ;Carbono      ;14;2;Ametal;
;7  ;N  ;Nitrogênio   ;15;2;Ametal;
;8  ;O  ;Oxigênio     ;16;2;Ametal;
;9  ;F  ;Fluor        ;17;2;Ametal;
;10 ;Ne ;Neônio       ;18;2;Nobre;
;11 ;Na ;Sódio        ;1 ;3;Metal;
;12 ;Mg ;Magnésio     ;2 ;3;Metal;
;13 ;Al ;Alumínio     ;13;3;Metal;
;14 ;Si ;Silício      ;14;3;Semimetal;
;15 ;P  ;Fósforo      ;15;3;Ametal;
;16 ;S  ;Enxofre      ;16;3;Ametal;
;17 ;Cl ;Cloro        ;17;3;Ametal;
;18 ;Ar ;Argônio      ;18;3;Ametal;
;19 ;K  ;Potássio     ;1 ;4;Metal;
;20 ;Ca ;Cálcio       ;2 ;4;Metal;
;21 ;Sc ;Escândio     ;3 ;4;Metal;
;22 ;Ti ;Titânio      ;4 ;4;Metal;
;23 ;V  ;Vanádio      ;5 ;4;Metal;
;24 ;Cr ;Cromo        ;6 ;4;Metal;
;25 ;Mn ;Manganês     ;7 ;4;Metal;
;26 ;Fe ;Ferro        ;8 ;4;Metal;
;27 ;Co ;Cobalto      ;9 ;4;Metal;
;28 ;Ni ;Níquel       ;10;4;Metal;
;26 ;Cu ;Cobre        ;11;4;Metal;
;30 ;Zn ;Zinco        ;12;4;Metal;
;31 ;Ga ;Gálio        ;13;4;Metal;
;32 ;Ge ;Germânio     ;14;4;Semimetal;
;33 ;As ;Arsênio      ;15;4;Ametal;
;34 ;Se ;Selênio      ;16;4;Ametal;
;35 ;Br ;Bromo        ;17;4;Ametal;
;36 ;Kr ;Criptônio    ;18;4;Ametal;
